objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14469327,011619,RUA ANA SILVA,121,Pechincha                 ,4,RESIDENCIAL,APARTAMENTO,100,104,381287.5275,381287.5275,COMPRA E VENDA,2012,01,10
14469328,016089,ETR CAPENHA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,118,258842.765,258842.765,COMPRA E VENDA,2012,01,1
14469329,016089,ETR CAPENHA,121,Pechincha                 ,4,RESIDENCIAL,APARTAMENTO,100,78.25,228548.3825,228548.3825,COMPRA E VENDA,2012,01,4
14469330,017798,RUA COMEND SIQUEIRA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,97,226300.69,226300.69,COMPRA E VENDA,2012,01,7
14469331,018564,RUA MIRATAIA,121,Pechincha                 ,3,RESIDENCIAL,APARTAMENTO,100,84.666666,245826.116666,245826.116666,COMPRA E VENDA,2012,01,5
14469332,018564,RUA MIRATAIA,121,Pechincha                 ,4,RESIDENCIAL,APARTAMENTO,100,84.5,250413.67,250413.67,COMPRA E VENDA,2012,01,8
14469333,023044,AVN GEREMARIO DANTAS,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,56.222222,168996.08,168996.08,COMPRA E VENDA,2012,01,2
14469334,023044,AVN GEREMARIO DANTAS,121,Pechincha                 ,6,RESIDENCIAL,APARTAMENTO,100,56.166666,128642.891666,128642.891666,COMPRA E VENDA,2012,01,5
14469335,023044,AVN GEREMARIO DANTAS,121,Pechincha                 ,4,RESIDENCIAL,APARTAMENTO,100,56.75,155787.2375,155787.2375,COMPRA E VENDA,2012,01,8
14469336,031567,RUA MONSEN MARQUES,121,Pechincha                 ,3,RESIDENCIAL,APARTAMENTO,100,66.666666,209317.486666,209317.486666,COMPRA E VENDA,2012,01,2
14469337,031567,RUA MONSEN MARQUES,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,66,214909.79,214909.79,COMPRA E VENDA,2012,01,9
14469338,033902,ETR DO PAU FERRO,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,71,233631.6,233631.6,COMPRA E VENDA,2012,01,6
14469339,033902,ETR DO PAU FERRO,121,Pechincha                 ,10,RESIDENCIAL,APARTAMENTO,100,103.4,334142.857,334142.857,COMPRA E VENDA,2012,01,9
14469340,033902,ETR DO PAU FERRO,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,76,248755.536666,248755.536666,COMPRA E VENDA,2012,01,12
14469341,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,13,RESIDENCIAL,APARTAMENTO,100,67.615384,235792.966153,235792.966153,COMPRA E VENDA,2012,01,3
14469342,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,67,247730.887777,247730.887777,COMPRA E VENDA,2012,01,10
14469343,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,2,RESIDENCIAL,CASA,56.5,143,418725.48,2426417.82,COMPRA E VENDA,2012,01,1
14469344,037663,RUA SAMUEL DAS NEVES,121,Pechincha                 ,5,RESIDENCIAL,APARTAMENTO,100,58.2,173224.45,173224.45,COMPRA E VENDA,2012,01,2
14469345,037663,RUA SAMUEL DAS NEVES,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,57.555555,176176.373333,176176.373333,COMPRA E VENDA,2012,01,5
14469346,040832,ETR DO TINDIBA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,62.5,126519.5,126519.5,COMPRA E VENDA,2012,01,8
14469347,040840,RUA PROF HENRIQUE COSTA,121,Pechincha                 ,10,RESIDENCIAL,APARTAMENTO,100,65.8,206570.418,206570.418,COMPRA E VENDA,2012,01,4
14469348,040840,RUA PROF HENRIQUE COSTA,121,Pechincha                 ,13,RESIDENCIAL,APARTAMENTO,100,59.153846,198386.294615,198386.294615,COMPRA E VENDA,2012,01,7
14469349,018317,RUA POTIGUARA,120,Freguesia (Jacarepaguá)   ,3,RESIDENCIAL,CASA,100,130.666666,381254.773333,381254.773333,COMPRA E VENDA,2012,01,6
14469350,021089,RUA EDGARD WERNECK,120,Freguesia (Jacarepaguá)   ,3,RESIDENCIAL,CASA,100,114,220422.776666,220422.776666,COMPRA E VENDA,2012,01,10
14469351,022913,RUA FRANCISCA SALES,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,APARTAMENTO,100,100.5,302390.32,302390.32,COMPRA E VENDA,2012,01,7
14469352,022913,RUA FRANCISCA SALES,120,Freguesia (Jacarepaguá)   ,5,RESIDENCIAL,APARTAMENTO,100,71.4,250111.632,250111.632,COMPRA E VENDA,2012,01,10
14469353,023051,LAD FREGUEZIA,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,CASA,100,107.5,191133.505,191133.505,COMPRA E VENDA,2012,01,8
14469354,023408,ETR DO GABINAL,120,Freguesia (Jacarepaguá)   ,3,RESIDENCIAL,APARTAMENTO,100,80,207547.84,207547.84,COMPRA E VENDA,2012,01,2
14469355,024430,RUA TIROL,120,Freguesia (Jacarepaguá)   ,3,RESIDENCIAL,APARTAMENTO,100,71.333333,186077.68,186077.68,COMPRA E VENDA,2012,01,6
14469356,024430,RUA TIROL,120,Freguesia (Jacarepaguá)   ,6,RESIDENCIAL,APARTAMENTO,100,75.5,238876.221666,238876.221666,COMPRA E VENDA,2012,01,9
14469357,024430,RUA TIROL,120,Freguesia (Jacarepaguá)   ,3,RESIDENCIAL,APARTAMENTO,100,80.333333,233213.02,233213.02,COMPRA E VENDA,2012,01,12
14469358,024430,RUA TIROL,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,CASA,100,60.5,135484.92,135484.92,COMPRA E VENDA,2012,01,10
14469359,029751,RUA MAMORE,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,APARTAMENTO,100,83.5,331573.54,331573.54,COMPRA E VENDA,2012,01,3
14469360,029751,RUA MAMORE,120,Freguesia (Jacarepaguá)   ,10,RESIDENCIAL,APARTAMENTO,100,114.3,404878.702,404878.702,COMPRA E VENDA,2012,01,10
